timestamp,x (g),y (g),z (g),magnitude,in_out_mouth_bool,t_sec,hils_score,cumulative_hils
45:45.1,-5.230061629,-14.66544823,0.464912539,15.577,1,298.8485031,1.18232486,1.534414448
45:51.4,11.2504503,3.816599787,1.098462571,11.931,1,305.174612,0.491562511,2.025976959
46:33.8,6.867105741,-8.371025108,13.67433737,17.442,1,347.5701809,1.438619878,3.464596837
46:53.3,-21.13215261,0.870691102,8.853800322,22.928,1,367.079916,1.246361064,4.710957902
47:01.9,-2.679834186,3.398299842,9.211101179,10.177,1,375.6883812,0.671936023,5.382893925
47:05.8,-21.62925909,-4.322314023,-0.969004975,22.078,1,379.5185318,1.260752545,6.643646469
47:13.2,5.249716595,-0.301005101,16.94351072,17.741,1,386.9678364,1.233645727,7.877292196
47:58.9,-1.261023698,-5.808111329,10.60175396,12.154,1,432.6274033,1.15592517,9.033217367
48:02.5,22.46674249,-0.556821654,6.950590518,23.524,1,436.2350063,1.355489863,10.38870723
49:47.8,6.084415324,7.044798552,12.1654442,15.318,1,541.5803452,1.359009872,11.7477171
49:49.1,-0.729024755,1.273897514,14.46560604,14.54,1,542.8678284,0.920153024,12.66787013
49:53.4,8.894986066,0.741617083,8.560802123,12.368,1,547.1241531,0.796376619,13.46424674
49:54.4,18.54783236,0.654373859,16.73999652,24.994,1,548.1441784,2.013502234,15.47774898
49:57.2,-0.095260807,-12.09453742,1.850687457,12.236,1,550.9824753,1.121548264,16.59929724
50:12.7,0.312900427,1.98882364,10.7287419,10.916,1,566.4284439,1.00462757,17.60392481
50:26.9,-1.128481632,-8.401881281,7.274922278,11.171,1,580.6345978,1.023349032,18.62727384
50:28.4,-14.38524133,-2.016974396,-2.669737117,14.769,1,582.1529388,0.984442112,19.61171596
50:28.6,6.071702479,7.720026638,45.85104792,46.891,1,582.3133774,2.514145708,22.12586166
50:28.9,-18.97091191,-2.54713696,-0.558319364,19.149,1,582.5951157,1.365289566,23.49115123
50:32.7,29.48061972,2.105391463,21.16912031,36.355,1,586.424675,2.434002546,25.92515377
50:36.4,-4.167782259,-6.450517099,8.703317367,11.607,1,590.0963593,1.030528982,26.95568276
50:37.7,0.089611455,-0.623722225,12.90828042,12.924,1,591.4359512,1.133994388,28.08967715
51:11.8,-4.205460997,-0.671354082,9.433514695,10.35,1,625.5544434,0.841170993,28.93084814
51:14.7,-3.453903163,-1.933350701,10.84214891,11.542,1,628.456871,0.779612129,29.71046027
