timestamp,x (g),y (g),z (g),magnitude,in_out_mouth_bool,t_sec,hils_score,cumulative_hils
11:54.7,6.405970207,2.485972613,8.637443133,11.037,1,1170.088776,0.436422355,0.436422355
11:55.9,-0.852732889,6.043636743,8.528464723,10.487,1,1171.338852,0.363400013,0.799822367
11:56.5,-1.67414136,-3.745396289,7.943610536,8.94,1,1171.877964,0.452212872,1.252035239
13:39.3,4.680495199,1.137811708,6.937208099,8.446,1,1274.708988,0.460465612,1.712500851
15:11.2,-57.00605799,-0.32201959,7.899795224,57.552,1,1366.617283,3.705241693,5.417742544
15:21.0,-44.79736954,-2.998030374,14.74145069,47.256,1,1376.372433,1.700349753,7.118092296
16:12.6,-25.16521432,-9.770066064,18.36911125,32.652,1,1427.982243,0.962457566,8.080549862
16:24.9,-8.405396343,-1.513257005,0.152821964,8.542,1,1440.305504,0.397185467,8.47773533
16:54.6,-16.93911183,-7.446892576,16.39048426,24.719,1,1469.979282,0.782906522,9.260641852
17:01.9,-2.935665394,4.366663048,8.24817486,9.784,1,1477.346699,0.633092062,9.893733914
17:14.4,-10.66902241,-1.515020344,5.061117177,11.905,1,1489.793007,0.542893771,10.43662768
17:33.0,-28.02335618,-9.260785114,2.425904706,29.613,1,1508.38835,1.400885626,11.83751331
17:55.0,10.74591407,1.635152781,-0.003774311,10.87,1,1530.404909,0.487034602,12.32454791
18:38.5,-5.368266465,-0.210915118,12.8186149,13.899,1,1573.923412,0.528354609,12.85290252
19:29.0,21.04287255,-6.228343263,-9.046586203,23.737,1,1624.458675,0.995654444,13.84855697
19:44.2,-18.92813966,-8.03928183,-2.392571328,20.703,1,1639.575796,1.103497253,14.95205422
20:06.0,-17.95903146,-10.04086272,5.370679552,21.265,1,1661.418146,0.912737011,15.86479123
20:10.5,9.209626711,4.491074239,17.27461262,20.085,1,1665.891129,0.99414739,16.85893862
20:42.8,-28.52154131,-10.50227056,20.76858176,36.812,1,1698.200647,1.277798177,18.1367368
21:00.8,-5.466087816,-2.794524353,23.42673666,24.218,1,1716.230049,1.574401163,19.71113796
21:01.5,7.562753953,-3.560940909,4.29367366,9.397,1,1716.921642,0.724838272,20.43597623
21:10.4,-42.5583047,-6.059285604,21.32605045,47.987,1,1725.785179,1.611815219,22.04779145
21:25.3,-4.359290574,-8.644939595,-27.926931,29.558,1,1740.700611,1.28003872,23.32783017
21:30.0,-1.584038946,3.62001083,13.87548313,14.427,1,1745.394463,1.150754571,24.47858474
22:10.3,-0.662416096,7.861456509,-5.61214286,9.682,1,1785.693533,0.498346496,24.97693124
22:10.4,2.287495557,27.38633937,0.52768382,27.487,1,1785.808203,0.805725259,25.7826565
23:19.6,3.192902624,2.015980513,7.058603644,8.005,1,1855.061859,0.413300612,26.19595711
23:47.7,-16.10293733,-2.760960775,7.256556334,17.877,1,1883.136768,0.832346368,27.02830348
23:59.7,-15.61269401,2.915609776,3.469565146,16.257,1,1895.068344,0.959934645,27.98823812
24:00.3,1.202925115,-2.080705334,8.135207833,8.483,1,1895.736486,0.493541665,28.48177979
24:00.6,-9.733516488,0.72461903,3.923120193,10.519,1,1895.96703,0.473210346,28.95499013
24:01.0,32.07523836,-3.67767569,16.10028194,36.077,1,1896.433289,1.281570496,30.23656063
24:01.4,0.700430886,-2.453335357,21.66275844,21.812,1,1896.830528,0.772330678,31.00889131
24:19.4,13.54609377,3.340898578,1.361611691,14.018,1,1914.835306,0.645412631,31.65430394
24:23.4,-17.05156845,-11.32478503,2.222662493,20.59,1,1918.850792,1.075384016,32.72968795
24:25.4,-2.916705455,3.503174446,12.57110465,13.372,1,1920.831305,0.938048969,33.66773692
24:40.5,-11.89142114,-1.704072014,3.968993181,12.652,1,1935.935781,1.074371183,34.7421081
24:41.2,-16.45440677,-3.418196416,6.853555654,18.149,1,1936.614731,0.995625677,35.73773378
24:46.8,9.365283852,1.590636856,2.881522995,9.927,1,1942.200211,0.638182551,36.37591633
24:58.2,-14.55183263,-6.323816312,-6.921728069,17.311,1,1953.59095,0.742757754,37.11867409
25:04.7,38.25133402,-7.57677721,-21.86147875,44.705,1,1960.085335,1.641276661,38.75995075
25:26.1,21.1903486,8.031776069,14.87954964,27.11,1,1981.503124,1.052990273,39.81294102
25:30.9,-56.53539516,-14.15365485,-0.534713987,58.283,1,1986.267784,1.681911415,41.49485243
25:39.0,7.676191877,-3.543171112,-11.09813884,13.952,1,1994.42071,0.462934321,41.95778676
25:47.8,3.491691855,-2.118786114,14.28595052,14.858,1,2003.219666,1.072850379,43.03063713
25:51.0,-13.33605307,-0.102964729,1.938538048,13.477,1,2006.420519,0.863012365,43.8936495
25:51.9,-10.03310655,2.161518422,10.11046275,14.407,1,2007.359261,0.972585974,44.86623547
25:54.5,12.85521641,5.789012167,12.27036443,18.69,1,2009.952667,1.034733722,45.9009692
25:55.8,-2.246742215,-2.69733234,-7.94032365,8.682,1,2011.174292,0.303129702,46.2040989
